query	grouping_confidence	location_confidence	orientation_confidence
NODE_151_length_12781_cov_7.363758_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_266_length_6154_cov_8.202920_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_330_length_3672_cov_7.861777_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_275_length_5803_cov_15.327167_pilon_pilon_pilon_pilon	1.0	0.4123719051537138	0.5438055505169599
NODE_93_length_18041_cov_7.365245_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_139_length_13548_cov_7.399970_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_305_length_4867_cov_6.677637_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_177_length_11402_cov_7.884169_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_476_length_836_cov_6.664590_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_514_length_594_cov_0.824411_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_505_length_617_cov_5.895918_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_999_length_241_cov_7.175439_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_769_length_410_cov_3.166078_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_64_length_23139_cov_7.182470_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_3_length_67426_cov_7.158561_pilon_pilon_pilon_pilon	1.0	0.38479979451468366	1.0
NODE_486_length_688_cov_8.875223_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_328_length_3712_cov_7.652999_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_912_length_322_cov_5.815145_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_682_length_432_cov_1.236066_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_47_length_27059_cov_7.551203_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_130_length_14599_cov_8.204049_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_156_length_12552_cov_6.312274_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_129_length_14640_cov_7.825674_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_22_length_35200_cov_8.015282_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_435_length_1244_cov_9.666965_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_31_length_30586_cov_7.676417_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_117_length_15618_cov_7.549868_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_9_length_48092_cov_7.281726_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_350_length_3224_cov_7.350339_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_173_length_11542_cov_6.797898_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_19_length_36042_cov_7.439204_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_480_length_783_cov_10.131098_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_409_length_1672_cov_6.575405_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_442_length_1190_cov_8.264346_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_164_length_12024_cov_6.621081_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_102_length_17410_cov_7.537465_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_386_length_2211_cov_5.016315_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_615_length_455_cov_1.515244_pilon_pilon_pilon_pilon	1.0	0.001399166211155801	0.5160349854227405
NODE_395_length_1913_cov_4.839216_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_390_length_2032_cov_5.400525_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_511_length_595_cov_2.288462_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_500_length_629_cov_0.966135_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_235_length_7709_cov_6.384331_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_20_length_35755_cov_7.664365_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_238_length_7520_cov_6.716894_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_21_length_35601_cov_7.734031_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_95_length_17821_cov_7.348593_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_126_length_14711_cov_8.108201_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_438_length_1222_cov_5.798174_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_231_length_7765_cov_7.336606_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_224_length_8074_cov_7.605260_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_74_length_21337_cov_7.847902_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_921_length_287_cov_19.375000_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_942_length_255_cov_12.851562_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_190_length_10442_cov_14.598449_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_172_length_11711_cov_7.659444_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_184_length_11105_cov_7.793769_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_27_length_31005_cov_7.792538_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_479_length_792_cov_0.996992_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_407_length_1689_cov_6.733675_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_211_length_8730_cov_6.341974_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_36_length_29040_cov_6.987203_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_247_length_6925_cov_8.188438_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_931_length_263_cov_5.435897_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_141_length_13401_cov_7.243559_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_90_length_18787_cov_7.514255_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_233_length_7732_cov_8.550690_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_307_length_4797_cov_7.225482_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_519_length_577_cov_5.282222_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_446_length_1160_cov_8.574056_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_167_length_11920_cov_7.650047_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_304_length_4871_cov_7.169266_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_39_length_28938_cov_7.494186_pilon_pilon_pilon_pilon	1.0	0.026076639779852192	0.9963138493944181
NODE_382_length_2306_cov_2.530519_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_301_length_4930_cov_8.782011_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_94_length_17983_cov_8.488911_pilon_pilon_pilon_pilon	1.0	0.006834261328592937	0.8973009587328054
NODE_16_length_40740_cov_8.045035_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_67_length_22863_cov_7.846323_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_387_length_2151_cov_6.651680_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_384_length_2256_cov_12.147957_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_501_length_628_cov_8.422517_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_316_length_4190_cov_13.479449_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_33_length_30254_cov_8.019086_pilon_pilon_pilon_pilon	1.0	0.024726053201868926	1.0
NODE_311_length_4693_cov_7.060666_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_217_length_8389_cov_7.073590_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_215_length_8478_cov_7.249192_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_345_length_3351_cov_8.860732_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_14_length_42168_cov_8.069979_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_32_length_30524_cov_7.680725_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_337_length_3463_cov_8.035971_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_289_length_5404_cov_8.544628_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_452_length_1074_cov_8.151003_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_84_length_19775_cov_6.490482_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_42_length_28236_cov_7.487424_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_338_length_3454_cov_8.460775_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_62_length_23426_cov_6.624404_pilon_pilon_pilon_pilon	1.0	0.004671605035315264	0.995836373782032
NODE_394_length_1944_cov_8.280132_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_149_length_13042_cov_7.006272_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_162_length_12102_cov_6.473069_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_15_length_41256_cov_8.143767_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_354_length_3093_cov_7.567094_pilon_pilon_pilon_pilon	1.0	0.636319018404908	0.9232549170844582
NODE_25_length_33599_cov_6.834369_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_198_length_9713_cov_6.831734_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_189_length_10510_cov_7.878840_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_44_length_27557_cov_7.694750_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_427_length_1326_cov_1.978315_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_70_length_21956_cov_7.118558_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_801_length_404_cov_1.862816_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_770_length_410_cov_2.074205_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_449_length_1104_cov_5.766633_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_245_length_6974_cov_7.380605_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_234_length_7715_cov_7.465867_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_290_length_5272_cov_7.788727_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_437_length_1242_cov_8.315695_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_323_length_3824_cov_6.956451_pilon_pilon_pilon_pilon	1.0	0.736385639370714	0.9824705560120515
NODE_133_length_14179_cov_7.854256_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_325_length_3764_cov_6.160022_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_122_length_14983_cov_6.745355_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_253_length_6753_cov_7.266677_pilon_pilon_pilon_pilon	1.0	1.0	0.9854567489774276
NODE_281_length_5681_cov_7.553295_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_197_length_9732_cov_7.085893_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_145_length_13356_cov_7.425731_pilon_pilon_pilon_pilon	1.0	0.8933432152001078	0.9922316916811222
NODE_418_length_1546_cov_7.294574_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_29_length_30894_cov_7.497449_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_324_length_3816_cov_7.767688_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_431_length_1280_cov_6.612316_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_625_length_452_cov_0.756923_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_428_length_1309_cov_6.210306_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_232_length_7758_cov_7.576989_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_492_length_657_cov_8.254717_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_592_length_464_cov_0.896142_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_470_length_866_cov_1.504736_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_89_length_18989_cov_7.363217_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_114_length_16185_cov_7.335721_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_377_length_2351_cov_8.573291_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_378_length_2332_cov_12.979592_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_132_length_14205_cov_7.443742_pilon_pilon_pilon_pilon	1.0	1.0	0.9944614073705886
NODE_165_length_11946_cov_13.498266_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_158_length_12379_cov_7.137855_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_371_length_2530_cov_7.456929_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_41_length_28754_cov_7.756803_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_314_length_4441_cov_6.483542_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_285_length_5455_cov_7.425300_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_360_length_2904_cov_6.152683_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_375_length_2397_cov_4.003524_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_227_length_7942_cov_7.680870_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_542_length_501_cov_8.828877_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_575_length_471_cov_24.598837_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_78_length_20747_cov_7.451067_pilon_pilon_pilon_pilon	1.0	0.022240261327960722	0.5533079253395876
NODE_188_length_10660_cov_8.148676_pilon_pilon_pilon_pilon	1.0	0.021515085416106555	1.0
NODE_296_length_5032_cov_6.505403_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_178_length_11365_cov_7.749155_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_121_length_15115_cov_8.587603_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_440_length_1208_cov_6.866667_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_327_length_3721_cov_8.334725_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_259_length_6546_cov_7.430597_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_366_length_2787_cov_6.754887_pilon_pilon_pilon_pilon	1.0	0.0016056403613279072	1.0
NODE_98_length_17604_cov_7.267895_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_201_length_9576_cov_7.420785_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_348_length_3262_cov_4.067943_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_349_length_3245_cov_7.412123_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1959_length_137_cov_5.727273_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_209_length_8806_cov_7.318355_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_79_length_20623_cov_7.412763_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_214_length_8536_cov_5.779760_pilon_pilon_pilon_pilon	1.0	0.0026019417595465424	0.9834103566773315
NODE_87_length_19498_cov_6.884776_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_195_length_10014_cov_7.045110_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_170_length_11809_cov_6.334703_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_293_length_5170_cov_7.948245_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_107_length_16938_cov_8.022069_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_274_length_5846_cov_7.589614_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_466_length_895_cov_3.067708_pilon_pilon_pilon_pilon	1.0	0.0005197418951081443	0.8768529076396807
NODE_45_length_27537_cov_8.082123_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_220_length_8223_cov_7.899333_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_222_length_8171_cov_6.886002_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_123_length_14908_cov_7.654151_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_146_length_13273_cov_6.639358_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_322_length_3834_cov_5.204208_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_205_length_9039_cov_8.806553_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_917_length_305_cov_5.020833_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_405_length_1732_cov_7.430530_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_249_length_6864_cov_7.608579_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_105_length_17027_cov_7.181420_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_369_length_2607_cov_5.227016_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_150_length_13019_cov_6.862628_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_118_length_15519_cov_6.799376_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_918_length_298_cov_5.710588_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_55_length_25182_cov_7.618080_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_370_length_2580_cov_7.127599_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_24_length_33922_cov_7.650747_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_448_length_1119_cov_3.527218_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_292_length_5194_cov_6.674561_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_647_length_443_cov_3.167722_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_543_length_495_cov_2.206522_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_391_length_2019_cov_6.031712_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_254_length_6738_cov_6.686129_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_421_length_1433_cov_6.594946_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_362_length_2870_cov_5.458622_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_506_length_615_cov_1.629098_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_477_length_831_cov_2.373580_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_252_length_6765_cov_6.021844_pilon_pilon_pilon_pilon	1.0	0.0026780609393369007	1.0
NODE_65_length_22939_cov_7.145055_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_367_length_2746_cov_7.587629_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_226_length_7957_cov_6.212261_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_258_length_6546_cov_8.134133_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_135_length_14028_cov_6.816704_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_358_length_2944_cov_7.074547_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_522_length_570_cov_11.693002_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_242_length_7248_cov_5.990029_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_299_length_4965_cov_6.908433_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_124_length_14817_cov_6.643091_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_101_length_17470_cov_7.425474_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_359_length_2930_cov_5.838387_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_180_length_11181_cov_7.343676_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_40_length_28895_cov_8.014808_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1_length_88090_cov_8.752203_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_335_length_3528_cov_15.206998_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_461_length_945_cov_9.105134_pilon_pilon_pilon_pilon	1.0	0.9951219512195122	0.9691176470588235
NODE_416_length_1575_cov_7.118785_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_410_length_1644_cov_7.905735_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_203_length_9180_cov_6.915498_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_351_length_3138_cov_6.925938_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_425_length_1393_cov_7.226698_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_385_length_2220_cov_6.031534_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_82_length_20007_cov_8.050956_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_456_length_1017_cov_8.169663_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_413_length_1618_cov_4.872569_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_364_length_2830_cov_5.985202_pilon_pilon_pilon_pilon	1.0	1.0	1.0
